sent_setpoint_Pset,sent_setpoint_Bset,Pset_pv,Pset_bess,P_grid,Pset_load,BESS_soc,Qset_pv,Qset_bess,Qset_load,Q_grid,reopt_calculated_pv_to_load,reopt_calculated_pv_to_battery,reopt_calculated_pv_excess,reopt_calculated_battery_to_load,reopt_calculated_battery_soc,reopt_calculated_grid_to_load,reopt_calculated_grid_to_battery,reopt_calculated_grid_consumption
203.339962,-285.031,195.75273,-42.1827,346.4295,-499.9995,0.30242357,0.9999997,1.000002,0.99999726,-2.9999988,203.516,0.0,0.0,0.0,0.31607,296.484,285.031,581.515
205.57258725,-300.0,205.57259,-300.0,594.4274,-500.0,0.32676396,0.9999992,1.0000013,1.0000021,-3.0000026,204.949,0.0,0.0,0.0,0.31822,295.051,300.0,595.0509999999999
207.33751650000002,-130.77,205.57259,-300.0,594.4274,-500.0,0.34225482,1.0000004,0.9999996,0.9999992,-2.999999,207.393,0.0,0.0,0.0,0.33365,292.607,130.77,423.37700000000007
210.833452,-3.55,210.83345,-3.55,292.71655,-500.0,0.35128802,0.9999991,1.0,1.0000021,-3.0000014,210.784,0.0,0.0,0.0,0.34244,289.216,3.55,292.766
214.44731475,0.0,210.83345,-3.55,292.71655,-500.0,0.3514713,0.9999997,1.0,1.000001,-3.0000007,214.805,0.0,0.0,0.0,0.35129,285.195,0.0,285.195
217.22480224999998,150.0,217.22481,150.0,132.77519,-500.0,0.34901756,0.9999991,0.99999946,1.0000021,-3.0000007,216.522,0.0,0.0,150.0,0.34268,133.478,0.0,133.478
221.56440925,150.0,217.48036,150.0,132.51964,-500.0,0.34127167,0.99999994,1.0,1.0000002,-3.0000002,222.244,0.0,0.0,150.0,0.34023,127.756,0.0,127.756
204.096955,150.0,204.09695,150.0,145.90305,-500.0,0.328563,0.9999992,0.99999946,1.0000021,-3.0000007,203.947,0.0,0.0,150.0,0.33248,146.053,0.0,146.053
152.79554825,150.0,204.09695,150.0,145.90305,-500.0,0.3208196,0.999999,0.99999934,1.0000025,-3.000001,152.867,0.0,0.0,150.0,0.31977,197.133,0.0,197.133
136.33939175,150.0,136.33939,150.0,213.66061,-500.0,0.30810845,0.99999946,0.99999946,1.0000021,-3.000001,136.253,0.0,0.0,150.0,0.31203,213.747,0.0,213.747
91.3523675,150.0,133.60042,149.99997,216.39952,-499.9999,0.30036423,1.0000005,1.0,0.99999946,-3.0,91.413,0.0,0.0,150.0,0.29932,258.587,0.0,258.587
74.662256,150.0,74.662254,150.0,275.33777,-500.0,0.2876539,0.9999997,0.99999946,1.0000021,-3.0000012,74.6,0.0,0.0,150.0,0.29157,275.4,0.0,275.4
108.09609400000001,150.0,74.662254,150.0,275.33777,-500.0,0.2799101,1.0000002,1.0000005,0.9999985,-2.9999993,107.898,0.0,0.0,150.0,0.27886,242.102,0.0,242.102
95.99762525,150.0,95.99763,150.0,254.00237,-500.0,0.26719937,0.9999997,0.99999946,1.000002,-3.0000012,95.975,0.0,0.0,150.0,0.27112,254.025,0.0,254.025
156.10605950000001,150.0,95.99763,150.0,254.00237,-500.0,0.2594576,1.0000004,1.0000006,0.99999833,-2.9999993,156.038,0.0,0.0,150.0,0.25841,193.962,0.0,193.962
211.3809885,0.0,211.38098,4.0536685e-9,288.61902,-500.0,0.24920288,0.9999992,1.0,1.000002,-3.0000014,210.803,0.0,0.0,0.0,0.25946,289.197,0.0,289.197
215.28773900000002,-300.0,211.61081,-17.66657,306.05518,-499.99942,0.24920288,0.9999984,1.0000025,1.0,-3.000001,214.678,0.0,0.0,0.0,0.265,285.322,300.0,585.322
216.51422349999999,-300.0,216.51422,-300.0,583.4858,-500.0,0.2745719,0.9999991,1.0000012,1.000002,-3.0000026,216.29,0.0,0.0,0.0,0.265,283.71,300.0,583.71
200.20672275,-154.103,216.51422,-300.0,583.4858,-500.0,0.290047,1.0000011,0.9999985,0.9999976,-2.9999971,199.68,0.0,0.0,0.0,0.28269,300.32,154.103,454.423
76.9064485,-27.183,200.20673,-154.103,453.89627,-500.0,0.30314046,0.9999992,1.0000006,1.000002,-3.000002,76.719,0.0,0.0,0.0,0.29148,423.281,27.183,450.464
142.81299275,-245.486,200.20673,-154.103,453.89627,-500.0,0.31108713,0.9999996,1.0000004,1.0000012,-3.0000012,143.28,0.0,0.0,0.0,0.31607,356.72,245.486,602.206
138.16904875,-300.0,138.16905,-300.0,661.83093,-500.0,0.33278012,0.99999946,1.0000012,1.000002,-3.0000029,138.026,0.0,0.0,0.0,0.32689,361.974,300.0,661.9739999999999
161.15435825,-16.53,138.16905,-300.0,661.83093,-500.0,0.34825385,1.0000002,0.99999946,0.9999991,-2.9999988,160.633,0.0,0.0,0.0,0.33365,339.367,16.53,355.89700000000005
208.74667875,0.0,208.74667,4.0015653e-9,291.25333,-500.0,0.34944043,0.9999992,1.0,1.000002,-3.0000014,208.928,0.0,0.0,0.0,0.34825,291.072,0.0,291.072
204.23176675,-34.038,208.48076,-2.0044506,293.52362,-499.99994,0.34944043,1.0000008,1.0000002,0.9999976,-2.9999988,204.347,0.0,0.0,0.0,0.35123,295.653,34.038,329.69100000000003
137.9112525,150.0,137.91125,150.0,212.08875,-500.0,0.34929824,0.99999946,0.99999946,1.000002,-3.000001,138.279,0.0,0.0,150.0,0.34065,211.721,0.0,211.721
178.378903,150.0,137.91125,150.0,212.08875,-500.0,0.34156325,0.99999934,0.99999934,1.0000025,-3.0000012,178.837,0.0,0.0,150.0,0.34051,171.163,0.0,171.163
186.99905825,150.0,186.99905,150.0,163.00095,-500.0,0.32884368,0.99999934,0.99999946,1.000002,-3.0000007,187.105,0.0,0.0,150.0,0.33277,162.895,0.0,162.895
