time_minute,timestamp,load,forecast,Pset_UDP,B_set_UDP,Real_PV,Deviation_Factor,Grid_Power
202.000000,2026-01-21 21:57:08,8224.320104,11595.746990,11595.746988,-3371.427000,11012.805589,-0.050272,582.941515
203.000000,2026-01-21 21:57:08,8305.349380,13742.267900,13742.267904,-5436.919000,14522.083110,0.056746,-779.814730
204.000000,2026-01-21 21:57:08,8391.828879,14706.202570,14706.202572,-6314.374000,15689.220490,0.066844,-983.017611
205.000000,2026-01-21 21:57:08,8165.552487,14464.365550,14464.365487,-6298.813000,15712.028771,0.086258,-1247.663284
206.000000,2026-01-21 21:57:08,8413.340144,13103.702240,13103.702144,-4690.362000,12301.616116,-0.061211,802.086028
207.000000,2026-01-21 21:57:08,8448.371647,10409.833200,10409.831647,-1961.460000,9715.120163,-0.066736,694.711484
208.000000,2026-01-21 21:57:09,8450.622826,6485.633076,6485.633076,0.000000,5929.449248,-0.085756,2521.173578
209.000000,2026-01-21 21:57:09,8500.254080,990.557135,990.557135,0.000000,923.958083,-0.067234,7576.295997
210.000000,2026-01-21 21:57:09,8578.064565,0.000000,0.000000,0.000000,0.000000,0.024122,8578.064565
211.000000,2026-01-21 21:57:09,6390.287282,0.000000,0.000000,0.000000,0.000000,-0.081376,6390.287282
212.000000,2026-01-21 21:57:09,6344.447487,0.000000,0.000000,0.000000,0.000000,-0.009490,6344.447487
213.000000,2026-01-21 21:57:09,5241.975403,0.000000,0.000000,0.000000,0.000000,0.080266,5241.975403
214.000000,2026-01-21 21:57:09,4955.805804,0.000000,0.000000,0.000000,0.000000,0.098795,4955.805804
215.000000,2026-01-21 21:57:09,4190.641941,0.000000,0.000000,0.000000,0.000000,-0.026974,4190.641941
216.000000,2026-01-21 21:57:09,4153.997751,0.000000,0.000000,0.000000,0.000000,-0.043262,4153.997751
217.000000,2026-01-21 21:57:09,4060.619904,0.000000,0.000000,0.000000,0.000000,0.020602,4060.619904
218.000000,2026-01-21 21:57:09,4054.406123,0.000000,0.000000,0.000000,0.000000,-0.021318,4054.406123
219.000000,2026-01-21 21:57:09,4012.838302,0.000000,0.000000,0.000000,0.000000,-0.000318,4012.838302
220.000000,2026-01-21 21:57:09,4039.365352,0.000000,0.000000,0.000000,0.000000,0.001516,4039.365352
221.000000,2026-01-21 21:57:09,4930.233201,0.000000,0.000000,0.000000,0.000000,-0.087053,4930.233201
222.000000,2026-01-21 21:57:09,4941.877457,0.000000,0.000000,0.000000,0.000000,-0.090329,4941.877457
223.000000,2026-01-21 21:57:09,6813.311445,0.000000,0.000000,0.000000,0.000000,0.083736,6813.311445
224.000000,2026-01-21 21:57:10,7722.669240,812.082917,812.082917,0.000000,854.624551,0.052386,6868.044689
225.000000,2026-01-21 21:57:10,8029.994655,2914.195128,2914.195128,0.000000,2670.011652,-0.083791,5359.983003
226.000000,2026-01-21 21:57:10,8309.746420,5048.243136,5048.243136,522.718000,5325.212653,0.054865,2461.815767
227.000000,2026-01-21 21:57:10,8503.578190,4852.540848,4852.540848,3651.037000,4746.046057,-0.021946,106.495133
228.000000,2026-01-21 21:57:10,8608.113196,10259.299580,10259.299196,-1651.186000,9829.548041,-0.041889,429.751155
229.000000,2026-01-21 21:57:10,8360.305792,10843.722950,10843.722792,-2483.417000,11380.604422,0.049511,-536.881630
230.000000,2026-01-21 21:57:10,8524.108678,9034.442844,9034.442678,-510.334000,8823.601978,-0.023337,210.840700
231.000000,2026-01-21 21:57:10,8517.374888,7724.766036,7724.766036,0.000000,8423.706084,0.090480,93.668804
232.000000,2026-01-21 21:57:10,8509.199555,4325.544384,4325.544384,4183.655000,4201.918069,-0.028581,123.626486
233.000000,2026-01-21 21:57:10,8571.732302,626.077724,626.077724,7945.654578,682.786887,0.090578,-56.709163
234.000000,2026-01-21 21:57:10,8657.836604,0.000000,0.000000,8657.836604,0.000000,0.007000,0.000000
235.000000,2026-01-21 21:57:10,6456.229710,0.000000,0.000000,6456.229710,0.000000,0.078435,0.000000
