time,forecast,load
2924,0,5425.453066
2925,0,5116.995479
2926,0,4356.04435
2927,0,4345.071498
2928,0,4233.506494
2929,0,4212.317766
2930,0,4206.400194
2931,0,4216.003907
2932,0,5123.005205
2933,0,5163.585667
2934,601.05033,6940.160768
2935,3587.496012,7989.085073
2936,7952.970876,8293.85652
2937,11437.22728,8559.936651
2938,14011.28341,8666.768913
2939,15633.68458,8761.476405
2940,16194.62195,8499.325963
2941,15769.255,8723.08788
2942,14383.34532,8782.066135
2943,12185.62322,8752.471689
2944,9115.20546,8746.165755
2945,5149.829712,8683.455283
2946,1416.643265,6409.428885
2947,0,6420.776933
2948,0,5361.814477
2949,0,5082.9645
2950,0,4323.099465
2951,0,4309.816193
2952,0,4222.579719
2953,0,4221.506789
2954,0,4221.296152
2955,0,4209.539996
2956,0,5083.635904
2957,0,5103.310681
2958,572.0449152,6877.318648
2959,3677.425464,7930.593916
2960,8126.840208,8208.338051
2961,11725.00582,8439.33402
2962,14329.20302,8559.897157
2963,15828.33493,8671.244941
2964,16325.29766,8451.873481
2965,15803.0671,8673.726504
2966,14504.68246,8697.232235
2967,12287.61769,8745.790559
2968,9212.605776,8770.632515
2969,5178.747108,8694.829661
2970,1329.305,6387.924202
2971,44.34086592,6359.771301
2972,0,5292.574269
2973,0,5023.485983
2974,0,4292.550573
2975,0,4301.114268
2976,0,4219.683466
2977,0,4220.091574
2978,0,4220.045498
2979,0,4220.084992
2980,0,5108.017093
2981,0,5086.946848
2982,619.523544,6828.898555
2983,3578.372112,7875.058254
2984,7764.4389,8206.33042
2985,11016.32567,8503.808573
2986,13473.76763,8616.518914
2987,15026.74128,8697.804903
2988,15751.90885,8459.357664
2989,15631.90273,8676.912383
2990,14545.98689,8666.762331
2991,12536.64649,8667.11778
2992,9430.484508,8705.763018
2993,5315.347992,8656.158093
2994,1389.013949,6363.77998
2995,44.15151816,6321.152393
2996,0,5234.813758
2997,0,4952.981956
2998,0,4223.040487
2999,0,4247.829785
3000,0,4182.887881
3001,0,4177.477153
3002,0,4145.045695
3003,0,4129.379596
3004,0,4365.266284
3005,0,4371.012715
3006,559.7416044,4875.000329
3007,3636.099564,5836.701325
3008,7988.071056,5915.387269
3009,11319.96906,6752.733668
3010,13849.17854,6859.947709
3011,15567.92809,6905.484714
3012,16316.62459,6774.093538
3013,16127.87794,6756.143349
3014,14882.45485,6752.759998
3015,12690.42178,6150.990914
3016,9489.972336,6143.796357
3017,5335.570848,5829.526515
3018,1332.860101,5397.31333
3019,53.89927824,5363.453493
3020,0,4489.982912
3021,0,4460.434543
3022,0,4237.199217
3023,0,4234.428029
3024,0,4141.194994
3025,0,4027.503877
3026,0,4038.509641
3027,0,4065.161756
3028,0,4290.648261
3029,0,4268.597239
3030,531.1011456,4743.286616
3031,3639.083616,4788.336524
3032,8070.67992,5371.977694
3033,11557.66276,5374.485586
3034,14138.71746,5457.95693
3035,15903.21532,5492.376271
3036,16742.01301,5553.553045
3037,16553.4381,5572.181221
3038,15323.34317,5591.559791
3039,13017.16474,5592.790698
3040,9217.006716,5406.364122
3041,5127.867948,5026.322995
3042,1615.67524,4647.288975
3043,74.66935356,4636.230552
3044,0,4466.496929
3045,0,4443.208417
3046,0,4221.447548
3047,0,4226.996506
3048,0,4132.117872
3049,0,4205.254857
3050,0,4164.404517
3051,0,4155.979052
3052,0,5063.460865
3053,0,5074.295486
3054,612.1449924,6804.497618
3055,3848.117532,7860.781041
3056,8476.188972,8179.658558
3057,12231.07098,8455.546457
3058,15011.94983,8564.932688
3059,16818.0956,8610.726407
3060,17574.00535,8372.167267
3061,17271.0704,8632.849835
3062,15849.20183,8673.654098
3063,13468.4865,8686.660909
3064,10054.40899,8730.782699
3065,5646.448956,8733.994908
3066,1466.442584,6480.591152
3067,76.39237524,6434.67895
3068,0,5372.563527
3069,0,5107.92494
3070,0,4350.126777
3071,0,4337.692634
3072,0,4254.504333
3073,0,4223.692144
3074,0,4187.75227
3075,0,4189.272803
3076,0,5080.621167
3077,0,5074.466629
3078,650.1304716,6834.79638
3079,3920.464692,7949.294499
3080,8483.960388,8342.15813
3081,12081.41755,8622.100784
3082,14622.11242,8703.241961
3083,16314.0055,8759.969036
3084,17050.33643,8540.452763
3085,16791.81877,8762.457182
3086,15484.37464,8807.862539
3087,13238.41394,8861.22601
3088,9953.444988,8877.951875
3089,5636.9601,8821.211635
3090,1437.291187,6504.735375
3091,86.13455364,6495.882054
3092,0,5417.508116
3093,0,5139.810058
3094,0,4426.252169
3095,0,4423.079455
3096,0,4313.252203
3097,0,4272.42161
3098,0,4241.826641
3099,0,4228.813247
3100,0,5095.938399
3101,0,5091.264899
3102,745.9679172,6858.35477
3103,3840.83988,7994.100858
3104,8493.8142,8385.213572
3105,11994.236,8686.983447
3106,14512.19626,8843.749753
3107,16209.79982,8946.046746
3108,16942.43826,8731.447521
3109,16727.62945,8988.990287
3110,15485.23336,9013.141092
3111,13215.37878,9071.382119
3112,9977.746764,9169.282071
3113,5516.438748,9172.527192
3114,1492.40813,6765.424525
3115,85.86598896,6633.381692
3116,0,5535.734503
3117,0,5245.938004
3118,0,4479.319433
3119,0,4457.985893
3120,0,4362.001417
3121,0,4348.132311
3122,0,4347.059381
3123,0,4361.520902
3124,0,5230.245576
3125,0,5223.827741
3126,665.0958144,6993.971843
3127,4150.40844,8115.684266
3128,8942.645676,8554.999855
3129,12697.11979,8883.441592
3130,15485.16895,9021.013636
3131,17288.116,9140.734227
3132,17889.99284,8913.595541
3133,17638.06586,9147.527258
3134,16233.35022,9169.788916
3135,13760.9236,9197.395478
3136,10340.16954,9250.087546
3137,5863.705116,9222.757444
3138,1588.932552,6902.265923
3139,86.29556364,6800.594259
3140,0,5651.795282
3141,0,5363.433746
3142,0,4614.100542
3143,0,4601.047654
3144,0,4484.183823
3145,0,4464.936901
3146,0,4469.156216
3147,0,4463.00826
3148,0,5361.044336
3149,0,5340.665243
3150,750.9055572,7133.959626
3151,4009.25634,8216.1711
3152,8663.4114,8637.582576
3153,12219.13477,9008.204296
3154,14771.25061,9123.771396
3155,16294.83457,9164.950856
3156,16791.7973,8906.736686
3157,16288.60885,9152.431142
3158,14925.99196,9199.087154
3159,12666.42055,9241.063083
3160,9561.868668,9298.033707
3161,5491.62174,9295.591639
3162,1478.073947,6949.158902
3163,83.24302872,6928.950951
3164,0,5753.980374
3165,0,5418.831177
3166,0,4647.670754
3167,0,4616.503116
3168,0,4490.048736
3169,0,4475.712281
3170,0,4494.741983
3171,0,4502.213001
3172,0,4728.746107
3173,0,4726.534422
3174,651.1866972,5282.279404
3175,3800.887932,6236.055197
3176,8161.081668,6309.935993
3177,11580.22562,7134.874579
3178,14096.66165,7244.800567
3179,15594.37667,7279.943971
3180,16166.26272,7057.873729
3181,15840.24967,7063.251545
3182,14489.48311,7137.468042
3183,12310.80313,6511.548153
3184,9261.359604,6505.874129
3185,5295.855048,6224.766391
3186,1476.56904,5811.392018
3187,81.53503464,5777.591423
3188,0,4866.726259
3189,0,4866.443216
3190,0,4656.241031
3191,0,4642.332432
3192,0,4550.672589
3193,0,4412.264581
3194,0,4351.969847
3195,0,4328.701083
3196,0,4560.052501
3197,0,4528.331942
3198,828.654066,5056.16099
3199,3769.759332,5104.120316
3200,7815.253656,5718.376202
3201,11369.81776,5804.526581
3202,13826.10044,5929.361692
3203,15344.21006,5957.88979
3204,15778.40036,5957.764724
3205,15549.76616,5865.314994
3206,14256.57678,5868.323148
3207,12110.5711,5859.910848
3208,9213.485964,5689.472908
3209,5315.970564,5315.1453
3210,1485.124038,4985.591139
3211,99.05957772,4910.894126
3212,0,4659.400581
3213,0,4633.327716
3214,0,4411.566847
3215,0,4402.456813
3216,0,4301.654024
3217,0,4427.614725
3218,0,4450.672852
3219,0,4455.826867
3220,0,5347.800559
3221,0,5323.149491
3222,671.5340676,7078.364723
3223,3843.029616,8075.636978
3224,8138.067972,8393.553466
3225,11367.28453,8749.582018
3226,13818.8872,8876.108804
3227,15307.39244,8918.920698
3228,15991.19118,8685.818363
3229,15706.20348,8940.715006
3230,14708.1991,8974.877633
3231,11452.40515,8974.535349
3232,9530.28924,8926.681341
3233,5489.281728,8798.067936
3234,1478.127617,6511.449417
3235,120.4786307,6489.483967
3236,0,5461.241545
3237,0,5203.112946
3238,0,4446.578603
3239,0,4463.179402
3240,0,4396.203538
3241,0,4398.092685
3242,0,4398.869408
3243,0,4383.525846
3244,0,5274.446355
3245,0,5226.335634
3246,639.8022168,6981.221745
3247,3845.262288,8035.128923
3248,8203.03014,8363.162551
3249,11589.88622,8694.777002
3250,13972.89863,8843.835324
3251,15489.26934,8894.736981
3252,16165.12492,8654.097804
3253,15914.20693,8899.923908
3254,14693.64379,8925.588664
3255,12539.43733,8929.281387
3256,9415.54278,8892.939987
3257,5389.498464,8802.372822
3258,1508.816123,6490.412084
3259,111.649701,6442.512
3260,0,5374.044565
3261,0,5092.041622
3262,0,4332.92698
3263,0,4333.236353
3264,0,4273.185168
3265,0,4306.057646
3266,0,4314.456781
3267,0,4316.464412
3268,0,5184.339957
3269,0,5130.160268
3270,690.5031924,6912.027614
3271,4085.532144,7959.345815
3272,8591.515068,8269.383177
3273,12051.21208,8528.288498
3274,14489.54752,8601.372824
3275,16033.52608,8663.398727
3276,16656.03367,8460.739966
3277,16302.67039,8731.480433
3278,14990.6321,8801.806736
3279,12719.74706,8907.421255
3280,9608.926524,9001.2862
3281,5500.402152,8933.816657
3282,1549.493689,6560.896364
3283,122.6181316,6501.141387
3284,0,5404.205097
3285,0,5116.936238
3286,0,4357.235763
3287,0,4359.980621
3288,0,4261.751549
3289,0,4226.476497
3290,0,4230.274539
3291,0,4246.05912
3292,0,5155.29185
3293,0,5156.845295
3294,732.54183,6958.887681
3295,3817.461228,8023.649227
3296,7890.477528,8334.180268
3297,11171.02408,8564.22179
3298,13675.116,8653.992486
3299,15263.59772,8709.027886
3300,15868.90945,8434.456465
3301,15532.52736,8756.572521
3302,14256.3621,8890.208293
3303,12026.35213,8852.629403
3304,9038.285616,8846.580183
3305,5219.987136,8782.559814
3306,1533.068522,6406.716939
3307,110.4219461,6357.362145
3308,0,5291.72514
3309,0,5009.215352
3310,0,4244.387192
3311,0,4220.611583
3312,0,4119.045237
3313,0,4086.883657
3314,0,4068.400294
3315,0,4066.16228
3316,0,4974.466892
3317,0,4948.894289
3318,703.205808,6729.412245
3319,3808.831092,7790.342837
3320,7999.449096,8083.726741
3321,11290.0856,8278.717012
3322,13699.28897,8348.167856
3323,15236.59098,8392.296229
3324,15829.04338,8108.46338
3325,15532.22681,8385.114836
3326,14321.28133,8417.822755
3327,12271.30201,8427.446215
3328,9308.031036,8458.929808
3329,5377.62666,8435.832186
3330,1543.302318,6199.792786
3331,121.9837522,6155.091745
3332,0,5145.925103
3333,0,4896.149563
3334,0,4186.771493
3335,0,4169.979805
3336,0,4063.897936
3337,0,4065.076185
3338,0,4057.934287
3339,0,4059.26393
3340,0,4273.777584
3341,0,4234.342458
3342,737.286258,4759.137022
3343,3993.842316,5722.404628
3344,8347.380972,5807.330681
3345,11764.12051,6617.768252
3346,14151.51239,6682.196729
3347,15662.70931,6758.993526
3348,16331.3087,6620.230068
3349,16039.64446,6603.207996
3350,14843.68364,6629.846946
3351,12651.80084,6035.621286
3352,9549.953928,6061.891622
3353,5558.623368,5754.256835
3354,1605.057167,5323.373293
3355,134.2205122,5259.75445
3356,0,4424.185297
3357,0,4398.467882
3358,0,4181.729379
3359,0,4180.748603
3360,0,4078.609588
3361,0,3961.653603
3362,0,3957.79632
3363,0,3953.241303
3364,0,4166.978233
3365,0,4122.343016
3366,712.1880192,4648.855585
3367,3960.73866,4712.928613
3368,8217.327828,5309.820143
3369,11488.87928,5349.808189
3370,13879.27668,5477.980574
3371,15396.76373,5537.34719
3372,16020.73115,5553.112024
3373,15747.93727,5543.56097
3374,14605.56059,5589.328359
3375,12505.66817,5611.030513
3376,9570.777888,5455.047512
3377,5571.59004,5102.250916
3378,1593.050114,4718.41833
3379,153.3725443,4656.991424
3380,0,4484.216735
3381,0,4438.567829
3382,0,4202.720635
3383,0,4182.216477
3384,0,4081.802049
3385,0,4188.515828
3386,0,4204.32674
3387,0,4183.072188
3388,0,5024.558914
3389,0,4966.62726
3390,762.0131004,6727.068912
3391,3918.317892,7820.463875
3392,8137.66008,8206.468651
3393,11399.5724,8546.666544
3394,13720.88578,8766.781815
3395,15207.54478,8901.345705
3396,15699.78455,8638.273728
3397,15379.1385,8824.562073
3398,14200.73851,8861.219428
3399,12198.33228,8921.685304
3400,9311.444448,9013.779585
3401,5455.98486,9017.004958
3402,1595.420182,6729.695288
3403,151.8090299,6628.721357
3404,0,5553.039618
3405,0,5241.475141
3406,0,4478.990313
3407,0,4496.82202
3408,0,4432.71608
3409,0,4437.475151
3410,0,4438.344028
3411,0,4438.51517
3412,0,5320.45071
3413,0,5272.09644
3414,745.3968684,7057.873729
3415,3819.221604,8112.97232
3416,7927.574232,8447.970121
3417,11163.36,8790.063744
3418,13466.61878,8971.803655
3419,14900.78852,9061.501944
3420,15431.28427,8791.933144
3421,15102.84534,9026.483606
3422,13928.18078,9053.589906
3423,11942.19757,9078.464775
3424,9073.063776,9136.955932
3425,5299.311396,9149.357163
3426,1704.969239,6797.98763
3427,149.8829209,6643.077559
3428,0,5546.66786
3429,0,5231.52256
3430,0,4479.010061
3431,0,4458.163617
3432,0,4316.87252
3433,0,4313.199544
3434,0,4341.800048
3435,0,4334.888534
3436,0,5224.038378
3437,0,5214.000226
3438,727.024554,7018.306955
3439,3757.887528,8059.378464
3440,7850.95494,8357.672834
3441,11156.14675,8637.095479
3442,13610.73347,8744.14496
3443,15188.20211,8831.506499
3444,15754.8929,8616.933605
3445,15451.44272,8903.050545
3446,14123.96894,8986.423153
3447,12038.99678,9056.578313
3448,9110.37516,9128.484391
3449,5318.37498,9096.526865
3450,1577.299043,6694.795432
3451,158.1408018,6557.203641
3452,0,5480.330489
3453,0,5176.355512
3454,0,4410.902025
3455,0,4411.257474
3456,0,4327.45701
3457,0,4313.331192
3458,0,4294.755675
3459,0,4290.009768
3460,0,5179.969247
3461,0,5158.438235
3462,722.1491712,6967.02352
3463,3713.74932,8039.269249
3464,7675.174956,8351.347153
3465,10930.53954,8616.505749
3466,13402.57974,8681.388411
3467,15022.68383,8682.915527
3468,15690.46744,8424.451226
3469,15460.07286,8696.534501
3470,14223.51606,8736.153933
3471,12117.0115,8762.825796
3472,9172.138596,8792.946833
3473,5355.428748,8758.672305
3474,1607.680556,6443.617842
3475,167.3018414,6368.038789
3476,0,5335.412492
3477,0,5083.997936
3478,0,4347.803192
3479,0,4356.393216
3480,0,4275.456094
3481,0,4255.807647
3482,0,4242.254496
3483,0,4238.206324
3484,0,5146.642584
3485,0,5121.346442
3486,722.1255564,6927.779284
3487,3805.804104,8011.070271
3488,7859.75682,8328.973594
3489,11042.04433,8583.481876
3490,13448.693,8691.670111
3491,15061.00421,8793.183799
